title,author,pub_time,star,style,long_time
射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",1993-02-05(中国香港),8.9,"喜剧,古装,武侠",113
楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998-06-01(美国),8.9,"剧情,喜剧,科幻",103
蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-18(美国),9.3,"动作,科幻,惊悚",152
教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974-12-12(美国),9.0,"剧情,惊悚,犯罪",202
指环王2：双塔奇兵,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003-04-25,9.1,"动作,冒险,奇幻",179
机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国),9.3,"喜剧,科幻,动画",98
天堂电影院,"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",1988-11-17(意大利),9.2,剧情,155
活着,"葛优,巩俐,牛犇",1994-05-18(法国),9.0,"剧情,家庭",125
拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-07-24(美国),8.9,"动作,历史,战争",169
哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-11-20(日本),9.0,"动画,奇幻,冒险",119
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04,9.1,"动作,科幻,冒险",162
盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01,9.2,"动作,冒险,科幻",148
忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2010-03-12(英国),9.3,"剧情,家庭",93
幽灵公主,"松田洋治,石田百合子,田中裕子",1997-07-12(日本),8.9,"动画,奇幻,冒险",134
搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15(美国),8.8,"动作,悬疑,剧情",139
东邪西毒,"张国荣,梁朝伟,刘嘉玲",1994-09-17,8.8,"剧情,动作,爱情",100
风之谷,"岛本须美,永井一郎,坂本千夏",1992,8.9,"动画,奇幻,冒险",117
疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20,9.5,"喜剧,动画,冒险",98
V字仇杀队,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-03-17(美国),8.8,"动作,剧情,惊悚",132
十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国),9.1,剧情,96
