user,location,gender,followers,text,created_time,comments,good
大头和他的朋友们,辽宁 沈阳,m,3005778,问题来了，#什么菜才是真正的米饭杀手#。 ​,Sun Jan 06 23:02:24 +0800 2019,42285,12679
XR-COOLM默默,广西 南宁,m,5513,#70万艺考生丧失报名资格#  #上亿讨论艺术升崩溃热搜被秒删# #艺考升崩溃# 炸了炸了，还压热搜，我一个程序猿都看不下去了！！！报名上不上反正我在上，艺术升不升反正我最坑…… ​,Sun Jan 06 20:37:42 +0800 2019,6193,37083
倪妮V,江苏 南京,f,20978666,只要一工作就让我自拍[二哈]尽力了[羞嗒嗒] ​,Sun Jan 06 22:18:20 +0800 2019,3183,58530
五月天,台湾 台北市,m,3995984,"人生無限公司 最終場

起點站 高雄 2017年3月18日
最終站 台中 2019年1月6日
總計122場 動員415萬人次參與

阿信：
這是一生中最奔波的一趟長征
這是一生中最任性的一次旅行

怪獸：
戰士卸下盔甲，吉他手放下吉他，
肩頭上因為摩擦而留下的痕跡，
麻麻的指尖，
留在心中的悸動，
是怎麼也忘不掉的。

 ​",Sun Jan 06 21:16:02 +0800 2019,7125,37164
娱评姐,广东,f,1280241,[心]点赞这只#猪年限定#[心]后转走这只猪事顺利！2019家人健康！一夜暴富！好运连连[心] ​,Sun Jan 06 22:29:42 +0800 2019,1095,26608
娱乐榜姐,上海 静安区,f,2691639,#美女戴贝雷帽 我戴贝雷帽# 结果拼图一出，有部分网友说：#石原里美戴啥都好看# 冲着这句话很多网友不服，都说手里有大把美女照，所以不拼爹，拼图，把你手里的美照都晒晒[摊手] ​,Sun Jan 06 17:51:12 +0800 2019,3470,29460
人民日报,北京,m,84390935,【最心疼的等待：父亲高空抢修电线 3岁儿子寒风中守候】1日，陕西汉中一小区熔断器出现故障，电网工作人员董红亮来不及将孩子托付他人，带儿子赶赴现场。寒风中，男孩头戴连衣帽、裹着比自己大很多的衣服坐在路边，仰着小脸望向高空作业的父亲。“爸爸，我就乖乖坐着等你！”这一幕，令不少人感动。 ​,Mon Jan 07 12:45:29 +0800 2019,1086,10987
芒果捞小萌主,海外,m,1785119,"#为什么小公爷不是男主# 因为男主是女主的，男二是观众的！
朱一龙新闻当事人 知否剧透画面cut
朱一龙《知否知否应是绿肥红瘦》曝光了还未播出片段：郡主答应齐衡去盛家提亲，齐衡喜极而泣，齐母：我这就更衣去盛家，一定将这门亲事说成。
齐衡金榜题名，小公爷：我中了！
齐衡：二叔来的这么晚，贵人 ​",Sun Jan 06 19:27:50 +0800 2019,9701,41102
资深观众韩梅梅,福建 厦门,f,2629134,"#童年印象深刻的动画# 分享
第一弹：沙雕短片大合集[doge]
http://t.cn/EGoKPZ4 ​",Sun Jan 06 16:02:58 +0800 2019,5172,13919
William威廉陈伟霆,香港 中西区,m,36239115,"这一站的结束，就是下一站的开始。
今晚九点#下一站传奇# ​",Sun Jan 06 19:31:36 +0800 2019,60938,102359
林俊杰,台湾 台北市,m,48320222,回歸大自然，聽聽海的聲音，重新啟發內心的靈感。。。 ​,Mon Jan 07 08:50:30 +0800 2019,6120,41289
孙燕姿,海外 新加坡,f,24244305,"祝我挑剔又讨厌的妹妹生日快乐！爱你, 愿你继续幸福快乐。 😍😍😍 ​",Sun Jan 06 16:24:42 +0800 2019,3897,32653
星闻揭秘,海外 美国,f,5597356,"张艺兴吐槽cut 张艺兴吐槽大会 张艺兴吐槽李诞方文山欧阳靖欧阳娜娜 张艺兴【我为什么这么努力，如果你跟我一样吹过那么猛的牛，你也得努力努力再努力】#李诞对张艺兴的吐槽好狠#
张艺兴：我说过很多让大家匪夷所思的话，我说过我妈认为我是下一个迈克尔杰克逊，我说过我的音乐专辑要把音乐市场给震动 ​",Sun Jan 06 20:20:16 +0800 2019,6643,45289
青厌君,香港 九龙城区,f,135000,"蜡像这首歌过于屌了....这是我当年第一次知道有跳音这么个东西....下巴惊到掉下来[拜拜][拜拜][拜拜]
这首歌Vitas还当着普京的面唱过....歌词我铁服[拜拜][拜拜][拜拜]
http://t.cn/EGKtKSf ​",Sun Jan 06 18:18:09 +0800 2019,1068,14070
范丞丞Adam0616,其他,m,10289059,2019的第一场球，很过瘾！#天猫高校名人堂# ​,Sun Jan 06 23:44:31 +0800 2019,20232,95081
OhyeahOh,海外,m,18162,"#李诞对张艺兴的吐槽好狠# 

张艺兴回怼完整版 小绵羊变身张怼怼 怼的漂亮[笑cry]
品一品张艺兴的梗 我真的要笑岔气 绝地反击[赞]

李诞 你别带我去酒吧 你最好也别去[doge]
张艺兴自己都说 我说过很多让大家匪夷所思的话
你说我为什么这么努力
如果你跟我一样吹过这么猛的牛 你也得努力 而且还得努力 ​",Sun Jan 06 22:07:28 +0800 2019,5773,39569
锦鲤大王,福建 福州,m,17943623,下周大吉，会有好事发生的[心] ​,Sun Jan 06 17:46:04 +0800 2019,2455,24685
